Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,HouseAge
139,3804,5,3,1,1941,Rural,Excellent,No,72007,85
140,4263,3,1,1,1928,Urban,Excellent,No,688093,98
141,2353,5,3,1,1978,Downtown,Fair,No,394785,48
142,1791,2,3,3,1992,Urban,Poor,No,670103,34
143,4081,4,1,3,1903,Downtown,Poor,No,883247,123
144,3957,4,1,3,1981,Suburban,Good,Yes,919914,45
145,2136,2,2,1,2013,Rural,Good,Yes,837071,13
146,4196,2,2,2,1956,Downtown,Poor,No,375737,70
147,3499,3,2,3,1948,Downtown,Fair,No,562164,78
148,3652,4,3,3,1943,Urban,Fair,No,128038,83
149,1198,4,1,3,2002,Suburban,Good,No,406043,24
150,2660,3,4,2,1979,Downtown,Excellent,Yes,840168,47
151,4597,1,3,3,1974,Suburban,Fair,Yes,827794,52
152,1354,3,4,2,1913,Suburban,Excellent,No,66473,113
153,3974,5,1,3,1902,Urban,Fair,Yes,703059,124
154,2207,4,3,2,2014,Downtown,Poor,Yes,175801,12
155,3277,2,4,3,2013,Urban,Good,No,944030,13
156,2233,5,4,1,1961,Rural,Excellent,No,660911,65
157,4010,4,2,1,2005,Rural,Excellent,No,558252,21
158,702,3,2,1,1963,Downtown,Poor,Yes,275097,63
159,3755,5,2,1,2001,Suburban,Fair,Yes,348964,25
160,4718,4,3,3,1944,Downtown,Excellent,No,265933,82
161,4996,1,1,1,2005,Downtown,Fair,No,369733,21
162,1266,1,1,2,1981,Rural,Poor,Yes,771167,45
163,4889,2,2,1,1957,Rural,Good,Yes,330558,69
164,2827,4,2,1,1919,Suburban,Excellent,No,439522,107
165,3431,1,2,1,1957,Suburban,Fair,Yes,74220,69
166,697,3,4,3,2011,Downtown,Excellent,No,634819,15
167,2430,4,2,1,1988,Urban,Fair,No,422146,38
168,4082,3,4,2,1956,Downtown,Fair,Yes,557409,70
169,1108,3,1,1,2001,Suburban,Fair,Yes,747785,25
170,3772,1,3,1,1976,Urban,Poor,Yes,59387,50
171,1647,4,3,1,1967,Rural,Good,No,295752,59
172,4782,5,3,2,2018,Suburban,Excellent,No,651103,8
173,3897,1,3,1,1977,Suburban,Good,No,601872,49
174,3011,1,4,2,1996,Urban,Fair,No,619071,30
175,2294,4,4,2,1991,Suburban,Fair,No,745169,35
176,1159,4,2,1,1951,Suburban,Good,No,759687,75
177,3311,3,4,2,1936,Suburban,Good,Yes,698782,90
178,1869,4,2,3,1907,Suburban,Excellent,No,690102,119
179,2486,3,2,1,1943,Suburban,Fair,No,300139,83
180,646,1,3,1,1997,Suburban,Good,No,967184,29
181,3719,2,4,2,2007,Suburban,Poor,No,550228,19
182,3411,5,4,2,1904,Suburban,Fair,Yes,716217,122
183,2234,1,2,1,2017,Rural,Fair,No,747621,9
184,2343,4,2,3,1968,Suburban,Excellent,Yes,910020,58
185,988,5,1,2,1930,Rural,Poor,Yes,984499,96
186,3476,2,1,2,1944,Rural,Excellent,No,296509,82
187,2459,2,2,3,1908,Downtown,Poor,No,63580,118
188,2885,3,1,3,2005,Downtown,Excellent,Yes,592528,21
189,3419,5,1,1,1931,Rural,Poor,Yes,828639,95
190,2302,3,2,3,1932,Rural,Poor,No,395590,94
191,4561,1,2,1,1966,Suburban,Poor,Yes,518968,60
192,3869,5,4,3,1929,Downtown,Good,No,940965,97
193,762,1,2,2,2013,Urban,Fair,No,828559,13
194,1123,3,2,1,1975,Downtown,Poor,Yes,533663,51
195,1516,5,3,1,1928,Rural,Good,No,478082,98
196,4143,3,4,1,1902,Rural,Good,No,655262,124
197,2549,5,4,3,1989,Suburban,Excellent,No,647689,37
198,4223,3,4,2,1956,Suburban,Fair,Yes,263165,70
199,3608,2,3,1,1929,Downtown,Fair,Yes,455427,97
200,4590,3,2,1,1908,Suburban,Excellent,Yes,502201,118
201,2556,2,4,1,1925,Urban,Fair,No,214340,101
202,3670,3,4,1,1901,Urban,Excellent,Yes,840078,125
203,2182,5,1,2,1961,Suburban,Good,Yes,760731,65
204,2755,5,4,3,1902,Urban,Good,Yes,822411,124
205,1654,5,2,2,1945,Urban,Poor,No,354960,81
206,4999,4,2,1,1967,Downtown,Excellent,No,139460,59
207,3691,1,1,2,1924,Urban,Good,Yes,356256,102
208,2196,5,4,1,1950,Rural,Good,Yes,101048,76
209,4491,2,4,3,1912,Rural,Excellent,Yes,780806,114
210,2148,5,4,3,2002,Downtown,Good,No,182850,24
211,1945,4,3,3,1943,Suburban,Fair,Yes,882184,83
212,4699,2,4,1,1934,Downtown,Good,No,528193,92
213,4423,4,2,2,1954,Suburban,Excellent,No,907158,72
214,753,2,2,3,1986,Suburban,Fair,No,786200,40
215,3683,3,3,1,1908,Suburban,Fair,Yes,994793,118
216,3057,1,3,1,1901,Suburban,Good,Yes,356932,125
217,598,1,4,2,1960,Suburban,Poor,No,316891,66
218,2700,4,1,3,2017,Downtown,Fair,No,574333,9
219,3461,1,3,1,1940,Suburban,Excellent,No,582046,86
220,4933,4,3,2,1943,Urban,Poor,No,829685,83
221,4277,4,4,3,1963,Urban,Poor,Yes,961508,63
222,3369,4,4,2,1930,Suburban,Fair,Yes,728797,96
223,3734,1,3,2,2007,Urban,Good,No,724945,19
224,4291,4,1,1,1946,Rural,Poor,No,190926,80
225,1456,1,3,1,1901,Downtown,Good,No,233148,125
226,4567,4,4,1,1995,Downtown,Fair,Yes,893382,31
227,660,5,4,2,1981,Suburban,Excellent,No,722709,45
228,4993,4,3,1,1976,Suburban,Poor,Yes,801588,50
229,1800,2,1,2,2009,Rural,Excellent,No,726708,17
230,4487,4,3,2,1968,Suburban,Good,Yes,215368,58
231,2027,3,3,1,1957,Urban,Good,Yes,544496,69
232,1718,4,4,3,2005,Rural,Excellent,No,69455,21
233,4996,2,1,3,1943,Urban,Fair,Yes,784184,83
234,3604,2,2,3,1973,Downtown,Fair,Yes,515139,53
235,3235,1,1,2,1955,Urban,Poor,Yes,281897,71
236,1454,5,3,2,1942,Downtown,Poor,Yes,482509,84
237,3946,4,3,2,1988,Urban,Fair,No,542646,38
238,1545,1,3,1,1933,Downtown,Fair,No,662840,93
239,2193,5,1,2,2000,Suburban,Excellent,No,882548,26
240,3936,4,4,1,1929,Urban,Good,No,432605,97
241,1062,3,3,1,1970,Downtown,Good,No,614772,56
242,2985,4,3,3,1969,Urban,Poor,Yes,997719,57
243,3854,2,1,3,2017,Rural,Fair,Yes,393782,9
244,725,2,2,3,1954,Suburban,Excellent,Yes,708764,72
245,1459,3,2,1,1966,Downtown,Poor,Yes,218332,60
246,3567,1,4,1,1912,Rural,Excellent,No,150647,114
247,1315,5,4,1,1902,Urban,Fair,No,639930,124
248,3620,4,3,2,1925,Rural,Fair,Yes,786091,101
249,516,2,1,1,1956,Urban,Fair,No,882441,70
250,1743,1,3,3,1923,Suburban,Good,Yes,178824,103
251,2705,3,4,3,1952,Rural,Fair,Yes,823202,74
252,3024,2,1,1,1969,Suburban,Poor,No,866037,57
253,1569,3,1,1,1942,Downtown,Good,No,685167,84
254,3944,4,4,3,1959,Urban,Excellent,No,695115,67
255,3065,5,2,1,1957,Urban,Poor,No,317724,69
256,1560,2,2,3,1948,Suburban,Poor,No,951334,78
257,2827,2,1,2,1941,Suburban,Excellent,No,317544,85
258,3920,4,3,3,1975,Downtown,Good,No,745003,51
259,801,1,2,2,2012,Rural,Poor,Yes,801545,14
260,4776,5,3,1,1999,Urban,Poor,No,932464,27
261,1106,2,2,1,1965,Urban,Poor,Yes,177319,61
262,3670,5,2,2,1910,Downtown,Good,Yes,562193,116
263,1199,2,3,1,2002,Downtown,Good,No,529389,24
264,1639,5,4,2,1997,Suburban,Good,Yes,156960,29
265,690,3,2,1,1989,Suburban,Poor,No,89015,37
266,2800,2,2,3,1917,Rural,Fair,Yes,383857,109
267,1480,5,3,1,1984,Downtown,Excellent,Yes,778165,42
268,3475,1,4,3,1999,Rural,Fair,Yes,982478,27
269,1684,3,2,3,2003,Downtown,Good,No,195109,23
270,3827,3,2,2,1951,Urban,Poor,Yes,527508,75
271,3894,1,4,1,1945,Downtown,Poor,Yes,836351,81
272,627,5,2,2,1943,Downtown,Fair,Yes,983671,83
273,2565,4,4,1,1921,Urban,Fair,No,138754,105
274,2316,1,4,3,1952,Downtown,Excellent,Yes,271775,74
275,1069,5,3,3,1958,Rural,Poor,No,355292,68
276,2395,1,1,1,1993,Suburban,Fair,Yes,777513,33
277,3233,1,4,1,2013,Suburban,Excellent,Yes,726894,13
278,4363,2,3,2,2006,Rural,Good,Yes,796355,20
279,4514,5,1,1,2023,Urban,Fair,No,959222,3
280,3401,4,2,1,1929,Downtown,Good,Yes,922510,97
281,2186,2,1,1,1907,Rural,Excellent,Yes,106879,119
282,3509,1,4,2,1997,Suburban,Good,Yes,169894,29
283,654,1,4,1,1956,Suburban,Poor,Yes,640127,70
284,3037,1,4,3,2010,Rural,Poor,No,79756,16
285,1909,5,4,2,1972,Suburban,Good,Yes,718043,54
286,4557,5,4,2,2014,Rural,Poor,Yes,230557,12
287,1284,2,3,3,1919,Suburban,Excellent,Yes,279303,107
288,3675,4,4,3,2003,Rural,Poor,Yes,454241,23
289,4841,2,3,3,1924,Downtown,Good,No,724075,102
290,3306,3,2,1,1918,Downtown,Good,Yes,541599,108
291,1037,1,4,3,1904,Downtown,Good,Yes,545283,122
292,2341,1,4,1,1974,Downtown,Fair,No,667231,52
293,2955,1,1,2,1978,Suburban,Good,Yes,792476,48
294,1024,2,2,2,1971,Urban,Excellent,Yes,198188,55
295,3450,2,4,3,1982,Rural,Poor,Yes,611032,44
296,4631,1,4,1,1986,Urban,Poor,No,174697,40
297,4615,2,2,3,1926,Suburban,Fair,Yes,530795,100
298,2868,5,3,3,1939,Suburban,Fair,No,690360,87
299,4347,5,4,1,1995,Urban,Excellent,No,445340,31
300,4995,2,1,3,1925,Urban,Good,No,286028,101
301,3201,1,4,2,1926,Suburban,Fair,No,743411,100
302,1471,2,1,3,1961,Suburban,Poor,No,57176,65
303,1666,2,1,1,1982,Rural,Fair,No,927742,44
304,3274,2,4,1,1949,Downtown,Fair,No,826653,77
305,2482,3,4,2,1941,Downtown,Good,Yes,508034,85
306,1353,5,1,1,1928,Rural,Fair,Yes,563611,98
307,4646,4,2,1,1938,Urban,Excellent,No,199748,88
308,4236,4,2,2,1959,Suburban,Poor,No,95177,67
309,4269,3,4,3,1940,Urban,Good,No,533512,86
310,1074,2,3,2,1932,Downtown,Poor,No,160623,94
311,3761,3,2,3,1982,Downtown,Excellent,No,575285,44
312,1648,3,4,2,2000,Urban,Excellent,No,502546,26
313,2215,1,2,3,1982,Downtown,Fair,Yes,546184,44
314,4354,5,3,2,1996,Suburban,Fair,Yes,694467,30
315,2991,4,4,3,2010,Rural,Fair,No,297439,16
316,3160,2,3,2,1915,Urban,Poor,No,694691,111
317,3624,4,4,3,1922,Suburban,Excellent,No,978735,104
318,3551,4,3,2,1906,Suburban,Good,Yes,145287,120
319,504,5,2,1,1925,Downtown,Fair,No,169574,101
320,1376,4,2,3,1995,Suburban,Poor,Yes,830751,31
321,1491,4,3,2,1911,Urban,Fair,Yes,171509,115
322,4642,3,3,3,1971,Suburban,Excellent,Yes,397591,55
323,4864,5,3,3,1904,Rural,Good,No,945954,122
324,4965,1,4,2,2005,Suburban,Excellent,No,499181,21
325,1135,2,2,3,1991,Suburban,Poor,Yes,393288,35
326,2193,4,4,2,2016,Rural,Fair,Yes,822793,10
327,2182,2,2,1,1968,Suburban,Excellent,Yes,242589,58
328,619,1,1,3,1948,Suburban,Poor,Yes,929125,78
329,1330,2,4,1,1925,Downtown,Fair,No,406459,101
330,4175,1,2,3,1904,Urban,Good,Yes,538720,122
331,1869,3,2,3,1921,Downtown,Excellent,No,863819,105
332,1240,4,4,3,1978,Urban,Fair,Yes,54090,48
333,616,1,4,2,1912,Rural,Fair,No,957278,114
334,3338,2,2,1,1927,Rural,Fair,Yes,468161,99
335,1650,4,4,3,1932,Rural,Fair,No,876671,94
336,2431,3,3,2,2006,Urban,Excellent,No,53743,20
337,1512,4,4,3,1922,Urban,Fair,No,80924,104
338,2164,1,4,2,1996,Urban,Poor,Yes,191268,30
339,1581,3,4,3,2006,Rural,Excellent,No,966592,20
340,1012,2,2,1,1917,Urban,Fair,Yes,928247,109
341,3349,3,3,1,2013,Suburban,Excellent,No,679600,13
342,1059,3,1,3,2016,Downtown,Poor,No,381004,10
343,4172,5,1,2,1929,Rural,Poor,Yes,790537,97
344,3843,3,3,3,1925,Downtown,Excellent,No,798378,101
345,4570,3,3,2,1915,Suburban,Fair,No,279602,111
346,1970,4,3,3,1976,Urban,Fair,Yes,392543,50
347,1080,2,2,2,1938,Downtown,Poor,No,885227,88
348,2794,4,1,1,1932,Suburban,Fair,No,887985,94
349,3647,4,3,3,1925,Suburban,Poor,No,558928,101
350,4749,1,2,1,1947,Downtown,Fair,No,153976,79
351,2179,4,1,1,1964,Rural,Poor,Yes,205183,62
352,4006,5,4,3,2012,Downtown,Good,No,687854,14
353,3244,5,2,3,1937,Rural,Fair,No,307443,89
354,3856,1,1,2,1901,Urban,Fair,No,694256,125
355,4545,2,2,2,2012,Rural,Fair,No,111600,14
356,1743,2,1,1,1905,Urban,Excellent,No,624310,121
357,3618,4,1,2,1945,Downtown,Fair,No,708559,81
358,2641,4,4,2,1949,Urban,Excellent,No,887329,77
359,3559,4,2,3,1937,Suburban,Excellent,No,874470,89
360,3459,2,3,2,2005,Urban,Poor,Yes,173323,21
361,2765,3,4,1,1987,Rural,Excellent,Yes,236110,39
362,2979,5,4,2,1917,Rural,Excellent,Yes,694566,109
363,2135,3,1,1,1926,Rural,Good,Yes,947486,100
364,2257,3,3,3,1940,Urban,Fair,No,320041,86
365,4952,2,2,1,1971,Rural,Excellent,No,638829,55
366,2570,3,3,2,1991,Rural,Fair,Yes,156968,35
367,3349,1,3,3,1973,Suburban,Excellent,Yes,589180,53
368,3751,4,3,2,1916,Urban,Poor,Yes,975775,110
369,4230,1,3,3,2018,Suburban,Good,No,74815,8
370,2989,5,3,3,1961,Rural,Excellent,No,882044,65
371,2131,4,1,2,1928,Rural,Fair,Yes,476573,98
372,3316,3,1,2,1957,Rural,Poor,Yes,518304,69
373,1515,5,4,3,1969,Urban,Fair,Yes,852699,57
374,1848,4,1,3,1977,Downtown,Poor,Yes,854700,49
375,3587,3,4,2,1921,Rural,Good,Yes,688751,105
376,3339,1,4,1,2017,Rural,Poor,No,981767,9
377,835,4,2,2,1905,Rural,Fair,Yes,514151,121
378,1395,3,3,3,1925,Rural,Fair,No,931779,101
379,4046,1,1,2,1938,Urban,Excellent,Yes,240732,88
380,1351,5,2,1,1911,Downtown,Poor,Yes,246599,115
381,2187,5,1,2,1998,Downtown,Fair,No,244451,28
382,2431,5,4,3,1913,Downtown,Excellent,Yes,406686,113
383,4246,5,1,2,1921,Rural,Good,No,746631,105
384,2927,2,3,3,1950,Rural,Fair,No,378756,76
385,2068,4,4,3,1922,Downtown,Excellent,Yes,188307,104
386,4500,4,4,2,1947,Downtown,Fair,Yes,138757,79
387,3238,2,2,3,1970,Rural,Poor,No,459633,56
388,3998,3,3,3,2003,Rural,Excellent,No,934507,23
389,4413,3,4,1,1949,Suburban,Poor,Yes,346753,77
390,1566,5,3,1,1988,Suburban,Good,No,939217,38
391,4880,1,1,1,1912,Suburban,Poor,Yes,304200,114
392,2944,3,3,1,1984,Downtown,Excellent,No,597933,42
393,4607,1,4,3,2004,Urban,Fair,Yes,506089,22
394,3873,4,2,2,1909,Rural,Excellent,No,769918,117
395,4469,1,4,3,2016,Suburban,Poor,No,374377,10
396,3046,4,3,3,1954,Urban,Poor,Yes,423587,72
397,1253,2,3,3,2022,Rural,Fair,No,204473,4
398,2582,2,4,2,1908,Urban,Good,No,844203,118
399,3274,5,3,1,1978,Downtown,Excellent,No,517667,48
400,3396,3,1,3,1951,Downtown,Fair,No,522650,75
401,4685,5,4,3,1901,Downtown,Fair,No,510665,125
402,1275,4,2,1,1924,Suburban,Fair,No,414745,102
403,2125,5,4,3,1912,Rural,Excellent,No,535820,114
404,3569,1,1,2,1997,Downtown,Excellent,Yes,445158,29
405,917,4,1,3,1950,Suburban,Excellent,No,725748,76
406,614,2,1,3,1957,Suburban,Good,No,961656,69
407,1116,3,1,1,1933,Suburban,Fair,Yes,657539,93
408,4474,4,1,3,1934,Suburban,Poor,No,631330,92
409,3767,4,2,3,2001,Downtown,Poor,No,890172,25
410,1325,1,3,2,1902,Suburban,Fair,Yes,246945,124
411,2016,3,1,1,2005,Downtown,Poor,No,621312,21
412,3646,2,1,1,2019,Downtown,Good,No,728810,7
413,912,4,4,2,1958,Suburban,Good,Yes,631253,68
414,1228,4,2,3,1969,Downtown,Excellent,Yes,322201,57
415,3848,1,2,1,2018,Rural,Excellent,No,798609,8
416,3308,5,3,1,1947,Rural,Excellent,No,845415,79
417,1175,2,2,3,1963,Urban,Excellent,Yes,442613,63
418,3965,3,4,3,2012,Rural,Excellent,No,594283,14
419,3004,4,4,1,1918,Downtown,Poor,Yes,164587,108
420,3467,4,3,3,1966,Downtown,Poor,Yes,283076,60
421,3286,2,4,1,1981,Rural,Excellent,Yes,796988,45
422,1622,5,1,3,2002,Suburban,Good,No,520897,24
423,4579,4,1,3,1972,Suburban,Poor,Yes,88886,54
424,2071,2,4,2,2015,Downtown,Good,Yes,401169,11
425,2643,1,3,3,1975,Suburban,Good,Yes,539788,51
426,2187,5,2,2,1904,Urban,Fair,No,145149,122
427,4632,3,3,3,1966,Urban,Fair,No,668308,60
428,4351,4,2,1,1910,Rural,Excellent,No,576961,116
429,3940,2,4,1,2020,Rural,Good,Yes,913945,6
430,4266,1,4,3,1993,Suburban,Poor,No,73466,33
431,2826,3,1,3,1967,Downtown,Fair,No,287626,59
432,3414,2,2,1,1968,Rural,Fair,Yes,928977,58
433,4452,2,3,3,1900,Urban,Good,Yes,559966,126
434,1095,3,4,2,1990,Rural,Fair,No,624694,36
435,1228,1,3,2,1991,Rural,Fair,No,446904,35
436,1865,1,1,2,1962,Urban,Poor,Yes,643572,64
437,4992,5,2,2,1928,Downtown,Good,No,810006,98
438,1198,4,2,2,1981,Rural,Fair,Yes,951011,45
439,895,3,4,3,1911,Rural,Good,Yes,587953,115
440,4671,3,2,3,1976,Rural,Fair,No,594929,50
441,4860,3,4,2,1940,Suburban,Poor,No,475716,86
442,3002,1,1,3,1901,Rural,Good,No,610085,125
443,2319,4,2,3,1936,Urban,Fair,No,790126,90
444,1217,5,4,2,1944,Downtown,Poor,Yes,358094,82
445,3282,2,3,3,1979,Downtown,Fair,No,992550,47
446,4077,2,4,3,1947,Urban,Good,No,965986,79
447,643,3,2,3,1923,Suburban,Fair,No,676627,103
448,3640,4,1,2,1998,Urban,Good,Yes,687719,28
449,4991,1,2,3,1921,Downtown,Good,No,282275,105
450,3438,4,2,1,1999,Urban,Fair,No,452854,27
451,4136,4,4,1,1910,Suburban,Poor,Yes,857605,116
452,3722,1,3,2,2018,Downtown,Excellent,Yes,718582,8
453,1667,3,2,1,1957,Suburban,Poor,Yes,231136,69
454,3116,4,3,2,1945,Urban,Poor,Yes,218082,81
455,1562,2,4,1,1928,Rural,Fair,Yes,303301,98
456,2656,1,3,1,1934,Urban,Poor,No,592383,92
